,Date,Temperature (Min),Temperature (Max),Pressure,Direction of Wind,Velocity of Wind,Humidity,Carbon Monoxide,UV Rays,Intensity of Light,Clouds,Rainfall
0,1970-01-01,18.0,29.0,701.0,NorthWest,0.5000790734452293,14.0,0.49998957765149404,0.9738829392426025,10001.0,Mammatus Clouds,22.0
1,1970-01-02,19.0,29.0,701.0,NorthWest,0.500080645991099,21.0,0.4999878845737078,1.03204395053089,10001.0,Altostratus,26.0
2,1970-01-03,18.0,29.0,701.0,SouthWest,0.5000240931205446,24.0,0.5000011718356033,1.0299566844291514,10001.0,Cumulus: Fluffy,24.0
3,1970-01-04,19.0,29.0,701.0,NorthEast,0.5000642827099936,23.0,0.5000007597283953,1.0425077837536074,10001.0,Altostratus,23.0
4,1970-01-05,19.0,29.0,701.0,NorthWest,0.5001006020026839,21.0,0.49998748618586586,1.0271002474303388,10001.0,Altostratus,25.0
5,1970-01-06,18.0,29.0,701.0,SouthWest,0.5000857619427559,19.0,0.49999988263793427,1.0994384314603796,10001.0,Altostratus,23.0
6,1970-01-07,18.0,29.0,701.0,SouthEast,0.5001767832823087,19.0,0.4999963430017882,1.0296895987339094,10001.0,Cirrus,23.0
7,1970-01-08,19.0,29.0,701.0,SouthEast,0.5001170327984679,14.0,0.5000040589360545,1.0989976180332377,10001.0,Cumulonimbus,24.0
8,1970-01-09,19.0,28.0,701.0,NorthWest,0.5001003289578065,12.0,0.49999877959794986,0.9650584968445421,10001.0,Nimbostratus,25.0
9,1970-01-10,19.0,29.0,701.0,SouthWest,0.5001750841107252,14.0,0.5000013372238773,1.0723244867873933,10001.0,Altostratus,27.0
10,1970-01-11,18.0,29.0,701.0,NorthEast,0.5000739135034717,0.0,0.4999982943724429,1.0211226755558787,10001.0,Cirrostratus,22.0
11,1970-01-12,19.0,29.0,701.0,SouthEast,0.500110332042082,24.0,0.500004923949678,0.939264808699544,10001.0,Cirrocumulus,25.0
12,1970-01-13,19.0,29.0,701.0,SouthWest,0.5001612934498891,10.0,0.5000056728513911,1.110222038803257,10001.0,Cirrocumulus,21.0
13,1970-01-14,19.0,29.0,701.0,SouthWest,0.5001160704342259,6.0,0.5000025613761923,0.9891443310274688,10001.0,Cirrostratus,23.0
14,1970-01-15,18.0,29.0,701.0,NorthWest,0.5000898702183875,2.0,0.5000025580244554,0.9425795161582092,10001.0,Nimbostratus,25.0
15,1970-01-16,19.0,29.0,701.0,NorthWest,0.5000883735475363,14.0,0.4999940683432499,0.90202260682329,10001.0,Mammatus Clouds,22.0
16,1970-01-17,19.0,29.0,701.0,NorthEast,0.5001214311561617,12.0,0.4999972268121004,1.018013940824432,10001.0,Cirrostratus,22.0
17,1970-01-18,18.0,29.0,701.0,SouthWest,0.5000936659421286,1.0,0.49999578604132044,1.1105528452735314,10001.0,Stratus,24.0
